Feature,Importance
TotalCharges,0.18668687320459362
MonthlyCharges,0.17842828015587575
tenure,0.15359951670866379
Contract,0.07567352649153862
OnlineSecurity,0.05382394696127998
PaymentMethod,0.05052382714837399
TechSupport,0.04639175624921579
gender,0.02817504043717342
OnlineBackup,0.02762678623157855
PaperlessBilling,0.02583081337922897
InternetService,0.024627189408115712
DeviceProtection,0.024360306161611
MultipleLines,0.0232244424542088
Partner,0.022512571039258956
SeniorCitizen,0.021134981592218213
Dependents,0.018773724484178994
StreamingMovies,0.01702453659149056
StreamingTV,0.01675429355043953
PhoneService,0.004827587750955825
